point,city,country,continent
ATL,Atlanta,USA,North America
YTO,Toronto,Canada,North America
MEX,Mexico City,Mexico,North America
HAV,Havana,Cuba,North America
SAO,Sao Paulo,Brazil,South America
BOG,Bogota,Columbia,South America
LIM,Lima,Peru,South America
CCS,Caracas,Venezuela,South America
SCL,Santiago,Chile,South America
LOS,Lagos,Nigeria,Africa
ADD,Addis Ababa,Ethiopia,Africa
CAI,Cairo,Egypt,Africa
FIH,Kinshasa,DRC,Africa
JNB,Johannesburg,RSA,Africa
DAR,Dar es Salaam,Tanzania,Africa
MOW,Moscow,Russia,Europe
FRA,Frankfurt,Germany,Europe
IST,Istanbul,Turkey,Europe
PAR,Paris,France,Europe
LON,London,UK,Europe
ROM,Rome,Italy,Europe
BJS,Beijing,China,Asia
DEL,New Delhi,India,Asia
CGK,Jakarta,Indonesia,Asia
TYO,Tokyo,Japan,Asia
SYD,Sydney,Australia,Australia/Oceania
POM,Port Moresby,Papua New Guinea,Australia/Oceania
AKL,Auckland,New Zealand,Australia/Oceania
NAN,Nadi,Fiji,Australia/Oceania
PUJ,Punta Cana,Dominican Republic,North America
UIO,Quito,Ecuador,South America
NBO,Nairobi,Kenya,Africa
MAD,Madrid,Spain,Europe
MNL,Manila,Philippines,Asia
SGN,Ho Chi Minh,Vietnam,Asia
ULN,Ulaanbaatar,Mongolia,Asia
ALG,Algiers,Algeria,Africa
ABJ,Port-Bouet,Ivory Coast,Africa
IEV,Kyiv,Ukraine,Europe
STO,Stockholm,Sweden,Europe
HKG,Hong Kong,Hong Kong,Asia
LAX,Los Angeles,USA,North America
KUL,Kuala Lumpur,Malaysia,Asia
MIA,Miami,USA,North America
PMI,Mallorca,Spain,Africa
DFW,Dallas,USA,North America
PHX,Phoenix,USA,North America
YVR,Vancouver,Canada,North America
RUH,Riyadh,Saudi Arabia,Asia
SEA,Seattle,USA,North America
DEN,Denver,USA,North America
BOM,Mumbai,India,Asia
AYT,Antalya,Turkey,Asia
ATH,Athens,Greece,Europe
OVB,Novosibirsk,Russia,Asia
LED,Saint Petersburg,Russia,Europe
KEF,Keflavik,Iceland,Europe
CKG,Chongqing,China,Asia
SHA,Shanghai,China,Asia
TIP,Qasr bin Ghashir,Libya,Africa
TLV,Tel Aviv,Israel,Asia
CMN,Casablanca,Morocco,Africa
LPA,Gran Canaria,Spain,Africa
TBS,Tbilisi,Georgia,Asia
LIS,Lisbon,Portugal,Europe
HNL,Honolulu,USA,Australia/Oceania
LPB,La Paz,Bolivia,South America
MVD,Ciudad de la Costa,Uruguay,South America
TNR,Antananarivo,Madagascar,Africa
ANC,Anchorage,USA,North America
PKC,Petropavlosk,Russia,Asia
KTM,Kathmandu,Nepal,Asia
TPE,Taipei,Taiwan,Asia
GUM,Guam,USA,Australia/Oceania
PNI,Pohnpei Island,Micronesia,Australia/Oceania
TKK,Chuuk,Micronesia,Australia/Oceania
MAJ,Majuro,Marshall Island,Australia/Oceania
VVO,Vladivostok,Russia,Asia
TRW,Tarawa,Kiribati,Australia/Oceania
INU,Nauru,Nauru,Australia/Oceania
PUS,Busan,South Korea,Asia
CJU,Jeju Island,South Korea,Asia
SPN,Saipan,USA,Australia/Oceania
PPT,Tahiti,France,Australia/Oceania
CMB,Colombo,Sri Lanka,Asia
YKS,Yakutsk,Russia,Asia
SFO,San Francisco,USA,North America
YYC,Calgary,Canada,North America
YWG,Winnipeg,Canada,North America
YHZ,Halifax,Canada,North America
YYT,St.John's,Canada,North America
YMQ,Montreal,Canada,North America
AER,Sochi,Russia,Europe
SVX,Yekaterinburg,Russia,Asia
SIP,Simferopol,Russia,Europe
UFA,Ufa,Russia,Europe
ARH,Arkhangelsk,Russia,Europe
EDI,Edinburgh,UK,Europe
TSE,Astana,Kazakhstan,Asia
KJA,Krasnoyarsk,Russia,Asia
IKT,Irkutsk,Russia,Asia
WAW,Warsaw,Poland,Europe
KHV,Khabarovsk,Russia,Asia
UUS,Sakhalinsk,Russia,Asia
MEL,Melbourne,Australia,Australia/Oceania
BNE,Brisbane,Australia,Australia/Oceania
PER,Perth,Australia,Australia/Oceania
DRW,Darwin,Australia,Australia/Oceania
HBA,Cambridge,Australia,Australia/Oceania
CPT,Cape Town,RSA,Africa
BUE,Buenos Aires,Argentina,South America
USH,Ushuaia,Argentina,South America
BRC,San Carlos,Argentina,South America
COR,Cordoba,Argentina,South America
URC,Urumqi,China,Asia
LHW,Lanzhou,China,Asia
HET,Hohhot,China,Asia
AYQ,Yulara,Australia,Australia/Oceania
VLI,Port Vila,Vanuatu,Australia/Oceania
NOU,Paita,New Caledonia,Australia/Oceania
RAR,Avarua,Cook Islands,Australia/Oceania
KWA,Kwajalein,Marshall Islands,Australia/Oceania
ROR,Babeldaob Island,Palau,Australia/Oceania
SUV,Suva,Fiji,Australia/Oceania
TBU,Nuku'alofa,Tonga,Australia/Oceania
SPK,Sapporo,Japan,Asia
YEG,Edmonton,Canada,North America
YMM,Fort McMurray,Canada,North America
PTY,Tocumen,Panama,North America
ANU,St.John's,Antigua and Barbuda,North America
GND,ST George's,Grenada,North America
POS,Piarco,Trinidad and Tobago,North America
YOW,Ottawa,Canada,North America
YZF,Yellowknife,Canada,North America
CPH,Copenhagen,Denmark,Europe
OSL,Oslo,Norway,Europe
ZRH,Zurich,Switzerland,Europe
TRD,Trondheim,Norway,Europe
GOT,Goteborg,Sweden,Europe
HEL,Helsinki,Finland,Europe
FAE,Sorvagur,Faroe Island,Europe
MLE,Male,Maldives,Asia
SEZ,Victoria,Seychelles,Africa
RGN,Yangon,Myanmar,Asia
WLG,Wellington,New Zealand,Australia/Oceania
CBR,Canberra,Australia,Australia/Oceania
CHC,Christchurch,New Zealand,Australia/Oceania
KHI,Karachi,Pakistan,Asia
KWI,Kuwait City,Kuwait,Asia
ISB,Islamabad,Pakistan,Asia
MCT,Muscat,Oman,Asia
KRT,Khartoum,Sudan,Africa
NDJ,N'Djamena,Chad,Africa
MGQ,Mogadishu,Somalia,Africa
FNC,Madeira,Portugal,Europe
MRU,Plaine Magnien,Mauritius,Africa
RUN,Reunion,France,Africa
EBB,Entebbe,Uganda,Africa
DLA,Douala,Cameroon,Africa
LBV,Libreville,Gabon,Africa
FTE,El Calafate,Argentina,South America
BDA,Hamilton,UK,North America
NYC,New York,USA,North America
MLA,Valetta,Malta,Europe
BUD,Budapest,Hungary,Europe
MSQ,Minsk,Belarus,Europe
MMK,Murmansk,Russia,Europe
NSK,Norilsk,Russia,Asia
GDX,Sokol,Russia,Asia
BSB,Brasilia,Brazil,South America
REC,Recife,Brazil,South America
BEL,Belem,Brazil,South America
MAO,Manaus,Brazil,South America
ADB,Izmir,Turkey,Asia
VAN,Van,Turkey,Asia
ASB,Ashgabat,Turkmenistan,Asia
FRU,Bishkek,Kyrgyzstan,Asia
DYU,Dushanbe,Tajikistan,Asia
NKC,Nouakchott,Mauritania,Africa
BKO,Bamako,Mali,Africa
OUA,Ouagadougou,Burkina Faso,Africa
GBE,Gaborone,Botswana,Africa
WDH,Windhoek,Namibia,Africa
HRE,Harare,Zimbabwe,Africa
ASM,Asmara,Eritrea,Africa
CUN,Cancun,Mexico,North America
GDL,Guadalajara,Mexico,North America
MTY,Monterrey,Mexico,North America
BGF,Bangui,CAR,Africa
LLW,Lilongwe,Malawi,Africa
LUN,Lusaka,Zambia,Africa
TUN,Tunis,Tunisia,Africa
VIE,Vienna,Austria,Europe
MDZ,Mendoza,Argentina,South America
SLA,Salta,Argentina,South America
RIO,Rio de Janeiro,Brazil,South America
SSA,Salvador,Brazil,South America
FOR,Fortaleza,Brazil,South America
GYN,Goiania,Brazil,South America
CGB,Varzea Grande,Brazil,South America
NAT,Natal,Brazil,South America
BOS,Boston,USA,North America
MSP,Minneapolis,USA,North America
SLC,Salt Lake City,USA,North America
PDX,Portland,USA,North America
MSY,New Orleans,USA,North America
CAY,Cayenne,France,South America
PYJ,Udachny,Russia,Asia
BQS,Ignatyevo,Russia,Asia
NER,Chulman,Russia,Asia
MJZ,Mirny,Russia,Asia
OMS,Omsk,Russia,Asia
TOF,Tomsk,Russia,Asia
TJM,Tyumen,Russia,Asia
UUD,Ulan-Ude,Russia,Asia
ABA,Abakan,Russia,Asia
BAX,Barnaul,Russia,Asia
HTA,Chita,Russia,Asia
CEE,Cherepovets,Russia,Europe
KGD,Kaliningrad,Russia,Europe
NNM,Naryan-Mar,Russia,Europe
SCW,Syktyvkar,Russia,Europe
USK,Usinsk,Russia,Europe
OKA,Naha,Japan,Asia
YQB,Quebec,Canada,North America
BGO,Bergen,Norway,Europe
HGA,Hergeisa,Somaliland,Africa
JIB,Ambouli,Djibouti,Africa
OPO,Porto,Portugal,Europe
PDL,Ponta Delgada,Portugal,Europe
RAK,Marrakesh,Morocco,Africa
GYD,Baku,Azerbaijan,Asia
UPG,Makassar,Indonesia,Asia
DJJ,Jayapura,Indonesia,Australia/Oceania
SUB,Surabaya,Indonesia,Asia
KBL,Kabul,Afghanistan,Asia
BWN,Bandar Seri Begawan,Brunei,Asia
BFS,Belfast,UK,Europe
DAM,Damascus,Syria,Asia
AMD,Ahmedabad,India,Asia
SHJ,Sharjah,UAE,Asia
DUB,Dublin,Ireland,Europe
CWL,Cardiff,UK,Europe
ORK,Cork,Ireland,Europe
TFS,Tenerife,Spain,Africa
AGP,Malaga,Spain,Europe
SCQ,Santiago,Spain,Europe
BPN,Balikpapan,Indonesia,Asia
MDC,Manado,Indonesia,Asia
TTE,Ternate,Indonesia,Asia
DAT,Datong,China,Asia
MCI,Kansas City,USA,North America
AUA,Aruba,Netherlands,North America
NAS,Nassau,Bahamas,North America
SJU,San Juan,Puerto Rico,North America
MDE,Medellin,Columbia,South America
SYZ,Shiraz,Iran,Asia
CTG,Cartagena,Columbia,South America
OSA,Osaka,Japan,Asia
ROV,Rostov-on-Don,Russia,Europe
VOG,Volgograd,Russia,Europe
PBH,Thimphu,Bhutan,Asia
CCU,Kolkata,India,Asia
BLR,Bangalore,India,Asia
HYD,Hyderabad,India,Asia
GAU,Guwahati,India,Asia
MAA,Chennai,India,Asia
JED,Jeddah,Saudi Arabia,Asia
IXZ,Port Blair,India,Asia
SID,Sal,Cape Verde,Africa
KGL,Kigali,Rwanda,Africa
FBM,Lubumbashi,DRC,Africa
