departure_point,arrival_point,measurement_value
P1,P452,4.908635396593003
P2,P121,4.3524820088580345
P3,P370,8.93396165964859
P4,P485,5.137935233273462
P5,P341,6.3001417666928825
P6,P566,4.836358416638478
P7,P263,5.45137047728026
P8,P365,10.717065790429853
P9,P121,9.156313265119472
P10,P86,6.118457233037097
P11,P95,1.7031750820465872
P12,P135,3.252534535242424
P13,P135,6.688855201523172
P14,P549,6.286888577378584
P15,P335,8.181906274260292
P16,P456,6.361524644750667
P17,P543,7.581627893148403
P18,P12,9.118183833891857
P19,P82,0.3548190004187991
P20,P50,3.2959699721256905
P21,P566,5.532854226711522
P22,P64,8.140531047952237
P23,P372,6.785108703460185
P24,P88,6.941606223782121
P25,P568,7.623665666862407
P26,P229,2.728824506303551
P27,P259,6.9692965552822566
P28,P88,10.10958516117012
P29,P389,2.379177536209847
P30,P138,4.144485220143909
P31,P453,3.3263840853398703
P32,P397,5.390417703188578
P33,P535,4.81849626300647
P34,P171,5.835889509308375
P35,P258,10.670728155435526
P36,P163,4.414716295544694
P37,P508,8.744057616325167
P38,P377,8.798385423824312
P39,P182,0.9760193710373165
P40,P95,7.955967104053494
P41,P210,6.967966967411125
P42,P278,5.147324351985542
P43,P89,5.914973405780069
P44,P353,8.402423675294996
P45,P513,4.76173001764882
P46,P232,4.4881030319562205
P47,P447,8.665854725692348
P48,P31,9.347703624783813
P49,P444,9.15877157486711
P50,P603,4.901339058563613
P51,P83,2.442663874701893
P52,P563,8.850630874545363
P53,P275,8.771199112682728
P54,P438,8.075246820279412
P55,P146,3.9673921747812027
P56,P504,5.233678913487824
P57,P4,6.993165343848744
P58,P520,4.4469277175308966
P59,P625,1.5504140725830209
P60,P261,6.67995019524269
P61,P355,6.386359789525095
P62,P220,4.573779541571159
P63,P482,3.0451976325605945
P64,P68,5.6461120652468635
P65,P51,2.319050447709253
P66,P412,4.377360581267455
P67,P277,4.303792150372799
P68,P333,9.214388603449265
P69,P34,0.7109628102984502
P70,P602,2.348787565521612
P71,P324,8.30708303854129
P72,P148,9.491256343105873
P73,P457,6.928217787462966
P74,P176,6.104505053363173
P75,P598,5.135537171070289
P76,P446,8.622704943868177
P77,P291,2.332256552547649
P78,P54,0.5218702317591191
P79,P149,3.838342662963032
P80,P82,5.7242833810179325
P81,P20,7.315784878803331
P82,P344,3.7016425921341547
P83,P201,6.634606455853414
P84,P210,7.4679977684233085
P85,P25,7.08312713336111
P86,P430,7.254989411607256
P87,P350,4.591075385888914
P88,P156,8.787937564895014
P89,P75,7.096662001908975
P90,P158,10.259570523140257
P91,P547,8.491954158148406
P92,P615,2.685042382847285
P93,P321,9.233547104348597
P94,P59,3.169522820677249
P95,P251,5.405022053769242
P96,P295,9.123616570177054
P97,P254,4.626681214291643
P98,P86,0.6096208133673402
P99,P376,7.68529636308554
P100,P590,7.140219560406589
P101,P120,6.914994753749873
P102,P197,6.75635508497438
P103,P13,5.855064064215782
P104,P285,3.1112282312400925
P105,P383,5.850687669346233
P106,P614,4.546463641828405
P107,P320,6.731829665020634
P108,P416,2.230789811206234
P109,P4,0.8790959520707777
P110,P500,9.50863611659656
