departure_point,arrival_point,measurement_value
ATL,YTO,2.2333333333333334
ATL,MEX,3.716666666666667
ATL,HAV,2.333333333333333
ATL,LOS,13.8
ATL,PUJ,3.3666666666666667
ATL,UIO,5.333333333333333
ATL,MIA,1.8833333333333333
ATL,DFW,2.3
ATL,PHX,4.25
ATL,NYC,2.183333333333333
ATL,SEA,5.666666666666668
ATL,DEN,3.3166666666666664
ATL,SFO,5.416666666666668
ATL,ANU,4.116666666666666
ATL,BDA,2.7666666666666666
YTO,MEX,4.833333333333333
YTO,SAO,9.916666666666666
YTO,BOG,5.833333333333332
YTO,LIM,7.916666666666668
YTO,SCL,10.416666666666666
YTO,ADD,13.0
YTO,CAI,10.333333333333334
YTO,FRA,7.583333333333332
YTO,LON,7.0
YTO,PUJ,4.416666666666667
YTO,MAD,7.5
YTO,MNL,16.333333333333332
YTO,IEV,9.833333333333334
YTO,HKG,15.5
YTO,MIA,3.6166666666666663
YTO,YVR,5.133333333333334
YTO,NYC,1.9
YTO,DEN,3.7
YTO,KEF,5.333333333333333
YTO,TLV,10.5
YTO,TPE,15.166666666666664
YTO,YYC,4.216666666666667
YTO,YWG,2.6
YTO,YHZ,2.0166666666666666
YTO,YYT,2.966666666666667
YTO,YMQ,1.1666666666666667
YTO,YEG,4.083333333333333
YTO,YMM,4.1
YTO,PTY,5.333333333333333
YTO,ANU,4.783333333333333
YTO,GND,5.166666666666667
YTO,POS,5.4833333333333325
YTO,ZRH,7.583333333333332
YTO,KHI,13.666666666666664
YTO,ISB,13.0
YTO,BDA,2.6666666666666665
MEX,HAV,2.583333333333333
MEX,SAO,9.416666666666666
MEX,BUE,9.083333333333334
MEX,LIM,5.833333333333332
MEX,SCL,7.916666666666668
MEX,TYO,14.416666666666664
MEX,PUJ,4.666666666666667
MEX,UIO,4.5
MEX,MAD,10.666666666666666
MEX,LAX,4.416666666666667
MEX,MIA,3.15
MEX,DFW,2.833333333333333
MEX,YVR,6.166666666666668
MEX,DEN,3.9166666666666665
MEX,SFO,4.916666666666667
MEX,PTY,3.8166666666666655
HAV,BOG,3.4
HAV,BUE,9.0
HAV,LIM,5.366666666666666
HAV,CCS,3.25
HAV,MOW,11.583333333333336
HAV,FRA,10.083333333333334
HAV,PAR,9.0
HAV,ROM,10.333333333333334
HAV,MAD,9.0
HAV,PTY,2.75
HAV,POS,3.8333333333333335
SAO,BOG,6.166666666666668
SAO,BUE,2.9166666666666665
SAO,LIM,5.166666666666667
SAO,SCL,4.25
SAO,ADD,12.0
SAO,FRA,11.5
SAO,IST,12.5
SAO,PAR,11.333333333333336
SAO,LON,11.416666666666664
SAO,ROM,11.333333333333336
SAO,UIO,5.916666666666668
SAO,MAD,10.166666666666666
SAO,MIA,8.333333333333334
SAO,DFW,10.5
SAO,CMN,9.0
SAO,LIS,9.833333333333334
SAO,MVD,2.6666666666666665
SAO,PTY,7.033333333333332
SAO,ZRH,11.333333333333336
SAO,BSB,1.8333333333333333
SAO,REC,3.1666666666666665
SAO,BEL,3.583333333333333
BOG,BUE,6.4
BOG,LIM,3.0
BOG,CCS,1.8333333333333333
BOG,SCL,5.916666666666668
BOG,FRA,11.166666666666664
BOG,PUJ,2.75
BOG,MAD,9.833333333333334
BOG,MIA,4.0
BOG,PTY,1.7833333333333332
BOG,NYC,5.916666666666668
BUE,LIM,4.916666666666667
BUE,CCS,6.666666666666668
BUE,SCL,2.333333333333333
BUE,FRA,13.333333333333336
BUE,PAR,13.333333333333336
BUE,LON,13.333333333333336
BUE,ROM,13.0
BUE,AKL,13.75
BUE,PUJ,8.0
BUE,MAD,11.75
BUE,MIA,9.166666666666666
BUE,MVD,0.75
BUE,USH,3.583333333333333
BUE,COR,1.4166666666666667
BUE,PTY,7.383333333333334
BUE,REC,4.916666666666667
BUE,MAO,5.0
LIM,CCS,4.0
LIM,SCL,3.633333333333333
LIM,PAR,12.416666666666664
LIM,UIO,2.4166666666666665
